averagerating,count
10,14
9.9,1
9.8,3
9.7,7
9.6,7
9.5,13
9.4,23
9.3,39
9.2,65
9.1,75
9,107
8.9,132
8.8,167
8.7,237
8.6,291
8.5,291
8.4,363
8.3,365
8.2,436
8.1,466
8,622
7.9,574
7.8,719
7.7,698
7.6,773
7.5,731
7.4,769
7.3,656
7.2,669
7.1,560
7,627
6.9,422
6.8,517
6.7,318
6.6,372
6.5,314
6.4,334
6.3,248
6.2,278
6.1,195
6,218
5.9,121
5.8,154
5.7,124
5.6,122
5.5,105
5.4,93
5.3,74
5.2,78
5.1,65
5,56
4.9,43
4.8,52
4.7,34
4.6,53
4.5,36
4.4,37
4.3,20
4.2,33
4.1,33
4,36
3.9,21
3.8,27
3.7,32
3.6,31
3.5,22
3.4,19
3.3,15
3.2,23
3.1,11
3,13
2.9,6
2.8,14
2.7,15
2.6,10
2.5,6
2.4,7
2.3,5
2.2,9
2.1,2
2,5
1.9,3
1.8,2
1.5,1
1.1,1
1,1
,15386
